STABR,SURVYEAR,TYPE,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,DPL,FLAG_P_DPL,FLAG_P_G,STNAME
ND,2008,TR,,,,,,,,,,,,,,,,North Dakota
OH,2008,TR,,,,,,,,,,,,,,,,Ohio
OK,2008,TR,,,,,,,,,,,,,,,,Oklahoma
OR,2008,TR,,,,,,,,,,,,,,,,Oregon
PA,2008,TR,,,,,,,,,,,,,,,,Pennsylvania
RI,2008,TR,,,,,,,,,,,,,,,,Rhode Island
SC,2008,TR,,,,,,,,,,,,,,,,South Carolina
SD,2008,TR,,,,,,,,,,,,,,,,South Dakota
TN,2008,TR,,,,,,,,,,,,,,,,Tennessee
TX,2008,TR,,,,,,,,,,,,,,,,Texas
UT,2008,TR,,,,,,,,,,,,,,,,Utah
VT,2008,TR,116,128,119,104,118,100,103,89,112,89,38,47,38,A,A,Vermont
VA,2008,TR,,,,,,,,,,,,,,,,Virginia
WA,2008,TR,,,,,,,,,,,,,,,,Washington
WV,2008,TR,,,,,,,,,,,,,,,,West Virginia
WI,2008,TR,,,,,,,,,,,,,,,,Wisconsin
WY,2008,TR,,,,,,,,,,,,,,,,Wyoming
AL,2009,HP,,,,,,,,,,,,,,,,Alabama
AK,2009,HP,214,205,228,194,207,200,193,173,192,165,216,187,125,A,A,Alaska
AZ,2009,HP,,,,,,,,,,,,,,,,Arizona
AR,2009,HP,198,190,163,175,179,143,150,174,152,167,120,98,96,A,A,Arkansas
CA,2009,HP,2625,2641,2546,2707,2673,2832,2881,2764,3263,3184,3116,3152,2661,A,A,California
CO,2009,HP,,,,,,,,,,,,,,,,Colorado
CT,2009,HP,,,,,,,,,,,,,,,,Connecticut
DE,2009,HP,,,,,,,,,,,,,,,,Delaware
DC,2009,HP,,,,,,,,,,,,,,,,District of Columbia
FL,2009,HP,,,,,,,,,,,,,,,,Florida
GA,2009,HP,116,113,110,110,108,123,107,123,116,107,90,81,83,A,A,Georgia
