STABR,SURVYEAR,TYPE,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,DPL,FLAG_P_DPL,FLAG_P_G,STNAME
SC,2011,HP,57,59,51,68,68,64,65,69,62,70,69,60,59,A,A,South Carolina
SD,2011,HP,22,10,10,12,7,10,3,9,4,9,5,9,10,A,A,South Dakota
TN,2011,HP,86,97,86,62,83,62,76,77,83,78,66,67,85,A,A,Tennessee
TX,2011,HP,521,457,476,424,447,418,454,422,521,434,433,413,396,A,A,Texas
UT,2011,HP,734,749,758,702,691,705,693,667,621,643,611,603,438,A,A,Utah
VT,2011,HP,4,2,4,3,6,5,6,4,5,6,7,5,5,A,A,Vermont
VA,2011,HP,145,133,137,123,136,108,130,123,142,134,108,119,108,A,A,Virginia
WA,2011,HP,819,765,744,739,731,767,653,644,745,670,573,686,483,A,A,Washington
WV,2011,HP,14,11,7,8,4,5,9,2,6,1,4,3,,A,,West Virginia
WI,2011,HP,53,50,47,32,44,43,45,47,48,41,30,45,47,A,A,Wisconsin
WY,2011,HP,12,8,11,15,9,7,10,11,9,9,7,7,7,A,A,Wyoming
AL,2011,TR,915,636,569,489,455,406,325,247,276,200,124,97,102,A,A,Alabama
AK,2011,TR,868,874,807,833,794,787,711,637,632,602,559,531,431,A,A,Alaska
AZ,2011,TR,1712,1429,1394,1275,1277,1261,1246,1110,1359,1028,871,853,657,A,A,Arizona
AR,2011,TR,763,748,651,638,599,583,515,519,496,452,399,323,284,A,A,Arkansas
CA,2011,TR,17774,15690,14081,13161,12914,12298,12006,11292,14697,14200,12073,11000,9063,A,A,California
CO,2011,TR,2310,2088,2125,2046,2077,1922,1846,1762,1759,1722,1563,1468,1268,A,A,Colorado
CT,2011,TR,921,829,832,749,761,708,650,656,699,596,443,410,395,A,A,Connecticut
DE,2011,TR,329,187,179,193,208,225,166,141,109,84,62,63,55,A,A,Delaware
DC,2011,TR,92,74,77,54,45,40,36,32,38,29,40,29,44,A,A,District of Columbia
FL,2011,TR,6960,6929,7111,6441,6543,6309,5979,5748,5782,5162,4875,4178,3859,A,A,Florida
GA,2011,TR,4347,4368,4274,4174,4074,3841,3743,3410,3729,3331,2797,2398,2293,A,A,Georgia
HI,2011,TR,1113,1135,1128,1053,942,958,938,986,1139,1014,866,826,828,A,A,Hawaii
ID,2011,TR,424,422,400,370,379,391,365,334,302,315,224,292,248,A,A,Idaho
IL,2011,TR,5016,5056,4777,4672,4531,4428,4143,3939,4037,3722,3516,2968,2874,A,A,Illinois
IN,2011,TR,4112,3976,3718,3774,3741,3479,3436,3222,3135,2980,2671,2302,1973,A,A,Indiana
IA,2011,TR,1214,1163,942,1001,947,896,838,849,820,805,666,684,582,A,A,Iowa
KS,2011,TR,1716,1758,1664,1709,1647,1553,1511,1472,1475,1334,1313,1160,1172,A,A,Kansas
KY,2011,TR,1655,1278,1230,1167,1093,1066,991,907,879,712,567,419,403,A,A,Kentucky
LA,2011,TR,953,774,692,651,557,495,457,363,411,345,300,248,240,A,A,Louisiana
ME,2011,TR,212,184,169,170,163,164,174,145,128,91,90,72,53,A,A,Maine
MD,2011,TR,2706,2873,2867,2680,2487,2381,2159,2093,2159,1864,1653,1490,1457,A,A,Maryland
MA,2011,TR,2303,2334,2141,1952,1994,1722,1567,1523,1661,1427,1369,1098,1131,A,A,Massachusetts
MI,2011,TR,3289,3107,2867,2738,2673,2653,2526,2406,2381,2202,1820,1647,2093,A,A,Michigan
MN,2011,TR,2794,2289,1628,1201,1200,1067,1118,982,983,870,907,905,582,A,A,Minnesota
MS,2011,TR,498,467,282,202,181,170,153,124,111,88,75,54,53,A,A,Mississippi
MO,2011,TR,1740,1239,1189,1151,1070,1045,993,978,985,816,720,614,577,A,A,Missouri
MT,2011,TR,266,193,173,202,190,170,166,163,172,129,105,115,111,A,A,Montana
NE,2011,TR,790,780,735,705,654,659,647,575,666,648,572,578,527,A,A,Nebraska
NV,2011,TR,1955,1859,1847,1742,1731,1679,1761,1709,1748,1727,1669,1474,1197,A,A,Nevada
NH,2011,TR,398,318,314,319,271,266,242,257,234,230,151,157,110,A,A,New Hampshire
NJ,2011,TR,1324,1202,994,796,698,718,630,605,715,563,470,414,337,A,A,New Jersey
NM,2011,TR,398,321,318,304,304,284,280,265,292,253,207,194,189,A,A,New Mexico
NY,2011,TR,2851,2165,1968,1617,1477,1397,1348,1154,1130,966,762,660,651,A,A,New York
NC,2011,TR,4129,4525,4726,4528,4464,4337,4181,4200,4433,3930,3298,2821,2807,A,A,North Carolina
ND,2011,TR,132,88,67,50,44,34,26,48,51,51,31,25,17,A,A,North Dakota
OH,2011,TR,6263,6925,6428,6232,6202,5836,5676,5263,5865,4890,4175,3529,3516,A,A,Ohio
OK,2011,TR,2887,2536,2359,2311,2307,2161,2046,1960,2077,1729,1430,1375,996,A,A,Oklahoma
OR,2011,TR,2137,2237,2121,1988,2104,2152,2104,2009,1939,1997,1804,1786,1396,A,A,Oregon
PA,2011,TR,4529,3796,2999,2471,2146,2121,1954,1933,1812,1640,1334,1233,1162,A,A,Pennsylvania
RI,2011,TR,417,348,300,304,314,271,256,250,285,200,183,173,155,A,A,Rhode Island
SC,2011,TR,1944,1882,1676,1695,1624,1609,1293,1158,1281,1033,869,736,687,A,A,South Carolina
SD,2011,TR,284,217,172,144,140,129,125,95,114,106,71,63,63,A,A,South Dakota
TN,2011,TR,1279,871,938,783,810,749,543,497,474,380,306,283,,A,,Tennessee
TX,2011,TR,6993,7230,6661,6415,6290,6150,6023,5843,6054,5654,5169,4786,4854,A,A,Texas
UT,2011,TR,832,692,655,631,597,619,654,573,550,511,454,403,321,A,A,Utah
VT,2011,TR,144,145,163,144,142,109,126,143,140,130,127,95,132,A,A,Vermont
VA,2011,TR,4653,4774,4475,4351,4190,4055,4010,3810,3955,3610,3384,3076,2966,A,A,Virginia
WA,2011,TR,5413,5181,5036,4833,4837,4896,4718,4400,4664,4257,4090,3863,2968,A,A,Washington
WV,2011,TR,466,379,249,221,224,214,165,144,128,110,94,56,47,A,A,West Virginia
WI,2011,TR,1517,1348,1203,1128,1082,1109,1008,997,1074,852,828,741,710,A,A,Wisconsin
WY,2011,TR,147,149,141,117,129,140,107,116,118,91,85,79,68,A,A,Wyoming
AL,2012,HP,54,43,36,35,35,40,20,26,28,26,24,19,21,A,A,Alabama
AK,2012,HP,243,271,255,246,221,245,217,228,243,206,218,209,158,A,A,Alaska
AZ,2012,HP,293,237,240,227,188,228,205,227,211,213,175,229,147,A,A,Arizona
AR,2012,HP,280,248,220,211,207,190,185,189,168,209,144,91,85,A,A,Arkansas
CA,2012,HP,2405,2384,2519,2479,2535,2471,2644,2610,2766,2756,2762,3071,2584,A,A,California
CO,2012,HP,146,139,133,145,123,124,127,164,135,150,138,145,119,A,A,Colorado
CT,2012,HP,28,40,31,32,24,40,29,32,36,23,27,70,65,A,A,Connecticut
DE,2012,HP,14,13,6,2,6,8,11,5,13,5,5,3,,A,,Delaware
DC,2012,HP,1,7,4,3,4,5,1,2,6,7,3,6,5,A,A,District of Columbia
FL,2012,HP,364,369,296,204,173,179,211,211,212,212,180,184,152,A,A,Florida
GA,2012,HP,172,136,116,137,141,133,122,135,166,164,137,84,77,A,A,Georgia
HI,2012,HP,4265,5472,5370,5071,5107,4735,4774,4545,5138,4266,3721,3171,3264,A,A,Hawaii
ID,2012,HP,66,61,85,66,72,86,73,70,83,57,91,73,71,A,A,Idaho
IL,2012,HP,183,148,128,146,132,127,162,136,189,146,133,124,112,A,A,Illinois
IN,2012,HP,60,51,45,39,41,31,34,34,43,51,49,40,33,A,A,Indiana
IA,2012,HP,74,70,73,59,64,61,70,63,50,49,49,46,37,A,A,Iowa
KS,2012,HP,56,54,55,67,58,44,51,61,61,48,61,43,45,A,A,Kansas
KY,2012,HP,48,51,47,34,33,56,35,40,48,32,43,22,27,A,A,Kentucky
LA,2012,HP,53,57,43,50,32,38,37,26,30,20,33,30,25,A,A,Louisiana
ME,2012,HP,12,11,18,17,11,15,19,7,17,12,11,12,10,A,A,Maine
MD,2012,HP,125,122,91,87,73,57,88,57,89,87,82,56,52,A,A,Maryland
MA,2012,HP,52,71,75,74,76,86,97,67,67,82,93,75,74,A,A,Massachusetts
MI,2012,HP,102,93,116,101,72,94,121,106,114,134,132,112,114,A,A,Michigan
MN,2012,HP,59,63,52,60,51,41,47,48,43,45,34,68,26,A,A,Minnesota
MS,2012,HP,22,10,24,7,11,8,10,11,5,5,11,7,7,A,A,Mississippi
MO,2012,HP,165,143,127,121,120,137,99,116,133,112,91,83,71,A,A,Missouri
MT,2012,HP,28,18,33,21,31,30,22,20,26,22,27,21,19,A,A,Montana
NE,2012,HP,28,38,21,19,26,29,20,26,29,20,25,23,20,A,A,Nebraska
NV,2012,HP,482,436,422,444,428,398,411,464,443,418,434,443,329,A,A,Nevada
NH,2012,HP,7,9,15,9,13,8,13,11,7,12,6,8,9,A,A,New Hampshire
NJ,2012,HP,264,289,245,277,271,206,198,209,229,175,170,230,233,A,A,New Jersey
NM,2012,HP,47,32,30,22,16,16,22,20,23,28,20,14,15,A,A,New Mexico
NY,2012,HP,677,481,417,404,327,376,381,354,427,428,278,223,201,A,A,New York
NC,2012,HP,139,126,69,79,96,80,95,94,110,91,76,72,86,A,A,North Carolina
ND,2012,HP,18,19,22,18,18,20,10,12,18,16,20,11,11,A,A,North Dakota
OH,2012,HP,99,73,62,60,78,54,74,58,59,57,69,45,46,A,A,Ohio
OK,2012,HP,203,142,137,142,112,118,106,128,115,101,96,75,71,A,A,Oklahoma
OR,2012,HP,327,323,300,280,287,263,277,289,268,276,269,294,188,A,A,Oregon
PA,2012,HP,114,70,80,78,73,96,116,85,83,88,87,90,85,A,A,Pennsylvania
RI,2012,HP,11,8,20,10,18,10,11,13,23,52,34,17,16,A,A,Rhode Island
SC,2012,HP,68,60,62,45,62,67,63,68,81,62,62,65,60,A,A,South Carolina
SD,2012,HP,9,10,6,15,8,10,13,6,20,6,9,5,5,A,A,South Dakota
TN,2012,HP,87,90,85,78,56,86,62,67,77,74,53,50,72,A,A,Tennessee
TX,2012,HP,557,530,474,490,457,468,443,467,523,498,454,400,394,A,A,Texas
UT,2012,HP,724,729,739,767,702,695,672,700,680,634,664,611,466,A,A,Utah
VT,2012,HP,6,3,4,6,6,3,4,4,2,7,6,6,9,A,A,Vermont
VA,2012,HP,154,132,141,142,130,139,119,135,129,138,132,109,110,A,A,Virginia
WA,2012,HP,728,812,772,775,771,761,802,680,761,711,637,643,446,A,A,Washington
WV,2012,HP,17,12,8,10,7,4,7,8,5,4,2,5,,A,,West Virginia
WI,2012,HP,59,53,52,45,39,43,47,48,51,47,47,30,29,A,A,Wisconsin
WY,2012,HP,11,14,15,12,16,13,12,12,15,15,14,13,12,A,A,Wyoming
AL,2012,TR,1418,990,753,681,595,537,530,398,383,304,214,162,142,A,A,Alabama
AK,2012,TR,1005,878,882,796,832,805,778,711,648,632,627,581,459,A,A,Alaska
AZ,2012,TR,2305,1856,1654,1558,1491,1483,1442,1357,1476,1444,1176,1055,827,A,A,Arizona
AR,2012,TR,850,794,792,703,665,644,628,571,629,528,466,418,389,A,A,Arkansas
CA,2012,TR,19050,17044,15489,14037,13197,13154,12652,12028,15398,13798,12766,11673,9906,A,A,California
CO,2012,TR,2511,2388,2160,2257,2112,2190,2009,1940,1900,1767,1780,1703,1408,A,A,Colorado
CT,2012,TR,1165,939,901,919,867,837,826,757,823,660,664,469,449,A,A,Connecticut
DE,2012,TR,372,336,220,187,221,221,234,183,159,99,70,56,46,A,A,Delaware
DC,2012,TR,112,109,91,74,72,70,61,48,44,44,32,39,303,A,A,District of Columbia
FL,2012,TR,7085,6937,7165,6841,6482,6535,6236,5905,6142,5355,4926,4520,4179,A,A,Florida
GA,2012,TR,4440,4343,4364,4276,4166,4034,3850,3762,3926,3267,2886,2619,2472,A,A,Georgia
HI,2012,TR,2440,1200,1162,1152,1045,1003,997,921,1213,1026,912,726,624,A,A,Hawaii
ID,2012,TR,506,440,462,441,421,417,423,371,357,294,312,241,214,A,A,Idaho
IL,2012,TR,5451,5092,5100,4821,4613,4488,4438,4111,4356,3907,3513,3424,3276,A,A,Illinois
IN,2012,TR,3918,3879,3950,3490,3638,3642,3481,3328,3297,3067,2761,2478,2124,A,A,Indiana
IA,2012,TR,1374,1302,1211,1034,1057,997,967,916,914,863,815,735,633,A,A,Iowa
KS,2012,TR,1907,1789,1800,1697,1745,1673,1594,1573,1536,1462,1325,1294,1232,A,A,Kansas
KY,2012,TR,1921,1684,1367,1278,1267,1161,1132,1043,1029,874,725,545,510,A,A,Kentucky
LA,2012,TR,1299,958,820,770,670,600,496,484,414,364,309,300,288,A,A,Louisiana
ME,2012,TR,301,216,202,179,183,193,177,208,156,139,91,104,99,A,A,Maine
MD,2012,TR,3005,2739,2869,2891,2679,2465,2403,2171,2262,2063,1770,1654,1665,A,A,Maryland
MA,2012,TR,2422,2352,2372,2176,1956,2002,1749,1585,1717,1590,1384,1283,1268,A,A,Massachusetts
MI,2012,TR,3824,3396,3295,3072,2908,2877,2835,2707,2674,2544,2055,1910,2514,A,A,Michigan
MN,2012,TR,3045,2865,2428,1778,1371,1410,1258,1295,1260,1106,997,1136,851,A,A,Minnesota
MS,2012,TR,606,579,515,348,260,240,219,190,196,141,111,94,83,A,A,Mississippi
MO,2012,TR,2152,1888,1424,1381,1334,1273,1204,1125,1185,1037,885,756,751,A,A,Missouri
MT,2012,TR,342,303,237,221,255,234,202,191,183,179,151,114,116,A,A,Montana
NE,2012,TR,823,820,800,767,730,676,673,658,608,650,624,650,540,A,A,Nebraska
NV,2012,TR,2222,2045,1911,1939,1802,1779,1686,1734,1724,1720,1637,1603,1295,A,A,Nevada
NH,2012,TR,408,407,349,319,348,305,258,253,285,223,227,153,132,A,A,New Hampshire
NJ,2012,TR,1635,1385,1271,1056,922,811,784,699,833,723,572,470,359,A,A,New Jersey
NM,2012,TR,402,413,340,345,320,299,302,304,363,284,237,220,220,A,A,New Mexico
NY,2012,TR,4585,3496,2730,2418,2058,1881,1764,1683,2688,1386,1138,903,838,A,A,New York
NC,2012,TR,4396,4077,4422,4629,4449,4334,4143,3995,4443,3831,3600,2953,2981,A,A,North Carolina
ND,2012,TR,172,126,95,89,68,59,51,52,59,67,56,37,31,A,A,North Dakota
OH,2012,TR,6405,6111,6596,6208,6056,5985,5651,5378,5836,4806,4179,3731,3833,A,A,Ohio
OK,2012,TR,3850,3281,3095,2939,2833,2675,2623,2521,2654,2399,1982,1674,1243,A,A,Oklahoma
OR,2012,TR,2314,2255,2323,2203,2083,2218,2205,2217,2107,1966,1983,1982,1473,A,A,Oregon
PA,2012,TR,5271,4578,3937,3196,2663,2377,2404,2187,2300,1874,1657,1459,1515,A,A,Pennsylvania
RI,2012,TR,416,408,338,297,307,323,288,253,293,274,197,167,153,A,A,Rhode Island
SC,2012,TR,2148,1951,1908,1732,1739,1642,1640,1317,1288,1175,964,811,775,A,A,South Carolina
SD,2012,TR,411,300,249,191,175,151,138,144,134,113,86,78,83,A,A,South Dakota
TN,2012,TR,2053,1712,1012,1073,907,872,838,660,621,529,424,354,,A,,Tennessee
TX,2012,TR,7747,7264,7438,6878,6588,6452,6362,6198,6539,5800,5493,4959,5014,A,A,Texas
UT,2012,TR,1077,979,872,779,811,764,824,795,740,673,604,534,419,A,A,Utah
VT,2012,TR,206,168,189,182,166,173,130,126,139,133,135,122,160,A,A,Vermont
VA,2012,TR,5038,4785,4793,4583,4401,4288,4114,4047,4113,3787,3414,3397,3276,A,A,Virginia
WA,2012,TR,6214,5517,5243,5051,4847,4913,4977,4790,4646,4505,4200,4279,3371,A,A,Washington
WV,2012,TR,593,497,422,334,278,272,246,182,181,135,110,105,105,A,A,West Virginia
WI,2012,TR,1830,1604,1459,1301,1216,1242,1222,1096,1226,1113,939,881,862,A,A,Wisconsin
WY,2012,TR,124,124,138,113,100,111,122,99,105,108,75,69,64,A,A,Wyoming
AL,2013,HP,72,52,46,40,45,42,42,27,45,30,29,20,,A,,Alabama
AK,2013,HP,276,234,275,246,242,227,245,210,239,231,226,219,,A,,Alaska
AZ,2013,HP,296,298,238,242,226,206,247,209,267,241,228,251,,A,,Arizona
AR,2013,HP,267,272,253,229,223,227,208,190,198,214,160,99,,A,,Arkansas
CA,2013,HP,2444,2363,2389,2455,2413,2478,2434,2623,2582,2707,2719,2850,,A,,California
CO,2013,HP,159,151,150,151,165,124,137,135,167,142,146,161,,A,,Colorado
CT,2013,HP,44,30,44,32,34,24,39,27,85,37,25,28,,A,,Connecticut
DE,2013,HP,14,14,14,9,4,4,10,11,13,10,6,3,,A,,Delaware
DC,2013,HP,16,4,9,9,4,5,2,3,5,4,6,0,,A,,District of Columbia
FL,2013,HP,367,374,382,299,212,205,210,236,238,210,216,166,,A,,Florida
GA,2013,HP,165,173,156,125,139,145,131,128,181,171,166,120,,A,,Georgia
HI,2013,HP,4162,4248,5443,5325,5093,4971,4663,4527,5259,4306,3648,3252,,A,,Hawaii
ID,2013,HP,65,71,67,85,72,83,89,76,85,84,73,95,,A,,Idaho
IL,2013,HP,197,176,157,126,152,130,139,164,168,182,163,137,,A,,Illinois
IN,2013,HP,61,63,56,45,41,48,31,45,41,48,55,51,,A,,Indiana
IA,2013,HP,70,77,68,71,63,71,63,74,64,48,51,36,,A,,Iowa
KS,2013,HP,67,71,54,64,78,58,42,51,61,66,46,47,,A,,Kansas
KY,2013,HP,71,51,57,47,37,36,58,37,42,43,30,36,,A,,Kentucky
LA,2013,HP,72,58,50,47,45,39,35,41,40,36,28,33,,A,,Louisiana
ME,2013,HP,8,13,9,16,14,12,13,19,12,19,14,13,,A,,Maine
MD,2013,HP,135,126,116,81,81,73,56,91,68,83,82,69,,A,,Maryland
MA,2013,HP,65,57,74,79,72,73,92,92,72,64,74,92,,A,,Massachusetts
MI,2013,HP,123,102,77,108,91,67,97,129,110,123,105,112,,A,,Michigan
MN,2013,HP,51,33,54,34,45,37,38,37,42,39,37,35,,A,,Minnesota
MS,2013,HP,22,21,8,25,8,14,11,11,9,4,5,6,,A,,Mississippi
MO,2013,HP,167,162,155,132,125,122,131,110,124,137,100,88,,A,,Missouri
MT,2013,HP,22,30,23,28,21,31,30,22,22,23,22,27,,A,,Montana
NE,2013,HP,21,33,34,28,19,26,24,26,31,29,24,32,,A,,Nebraska
NV,2013,HP,517,488,479,462,478,455,418,420,467,450,420,421,,A,,Nevada
NH,2013,HP,8,7,8,14,10,14,11,11,10,9,12,9,,A,,New Hampshire
NJ,2013,HP,267,230,249,246,240,234,202,193,192,230,163,162,,A,,New Jersey
NM,2013,HP,48,53,34,30,22,16,20,25,22,27,24,15,,A,,New Mexico
NY,2013,HP,0,0,0,0,0,0,0,0,0,0,0,0,,A,,New York
NC,2013,HP,175,165,141,98,113,129,115,125,159,137,125,93,,A,,North Carolina
ND,2013,HP,21,20,21,18,17,14,17,15,15,20,11,16,,A,,North Dakota
OH,2013,HP,102,106,89,75,76,87,66,77,85,63,53,77,,A,,Ohio
OK,2013,HP,190,188,129,127,156,119,134,108,138,110,95,83,,A,,Oklahoma
OR,2013,HP,313,328,319,310,294,290,271,288,297,275,281,311,,A,,Oregon
PA,2013,HP,123,121,84,88,88,85,106,121,113,85,90,92,,A,,Pennsylvania
RI,2013,HP,19,11,11,22,10,20,11,10,12,25,43,36,,A,,Rhode Island
SC,2013,HP,74,65,66,68,52,62,70,66,81,90,60,55,,A,,South Carolina
SD,2013,HP,17,7,10,9,8,6,9,12,7,9,5,6,,A,,South Dakota
TN,2013,HP,86,63,69,72,70,57,68,63,77,64,69,59,,A,,Tennessee
TX,2013,HP,587,534,502,470,470,447,507,463,555,470,513,423,,A,,Texas
UT,2013,HP,772,705,727,746,750,692,664,680,672,685,621,649,,A,,Utah
VT,2013,HP,1,7,4,5,6,4,3,2,2,3,4,8,,A,,Vermont
VA,2013,HP,167,136,143,134,149,123,137,117,136,124,135,125,,A,,Virginia
WA,2013,HP,827,780,843,806,780,777,781,849,765,722,690,709,,A,,Washington
WV,2013,HP,11,14,12,8,6,4,3,6,11,3,3,1,,A,,West Virginia
WI,2013,HP,61,51,55,48,50,39,44,44,45,53,54,46,,A,,Wisconsin
WY,2013,HP,9,5,7,5,4,11,13,10,4,11,6,5,,A,,Wyoming
AL,2013,TR,1751,1468,1098,884,791,689,636,616,489,413,327,240,,A,,Alabama
AK,2013,TR,987,978,871,901,791,847,794,777,726,630,651,622,,A,,Alaska
AZ,2013,TR,2677,2427,2022,1855,1794,1677,1580,1554,1671,1583,1443,1300,,A,,Arizona
AR,2013,TR,983,890,803,799,719,685,687,656,593,613,499,459,,A,,Arkansas
CA,2013,TR,19369,18952,16869,15781,14484,14056,13775,12837,15216,15105,13174,13285,,A,,California
CO,2013,TR,2801,2574,2465,2274,2355,2207,2290,2091,2130,1939,1824,1890,,A,,Colorado
CT,2013,TR,1319,1197,1001,956,989,873,862,841,927,786,654,596,,A,,Connecticut
DE,2013,TR,405,403,360,255,218,232,234,238,201,144,93,69,,A,,Delaware
DC,2013,TR,126,104,95,99,86,70,58,65,57,48,39,34,,A,,District of Columbia
FL,2013,TR,7658,7143,7293,6958,6915,6502,6518,6233,6361,5770,5082,4620,,A,,Florida
GA,2013,TR,4753,4458,4375,4315,4294,4136,3967,3796,4214,3451,2922,2691,,A,,Georgia
HI,2013,TR,2887,2358,1120,1096,1086,986,943,913,1052,964,868,712,,A,,Hawaii
ID,2013,TR,536,554,465,477,467,462,420,448,422,369,315,334,,A,,Idaho
IL,2013,TR,5571,5264,5020,5049,4807,4587,4495,4373,4555,4161,3726,3393,,A,,Illinois
IN,2013,TR,4113,3885,3924,3711,3520,3613,3629,3407,3394,3110,2916,2608,,A,,Indiana
IA,2013,TR,1512,1419,1352,1275,1073,1095,1044,991,976,931,837,843,,A,,Iowa
KS,2013,TR,2024,1918,1831,1861,1745,1777,1677,1628,1611,1513,1404,1296,,A,,Kansas
KY,2013,TR,2334,1961,1783,1466,1379,1371,1234,1212,1182,1013,867,719,,A,,Kentucky
LA,2013,TR,1513,1288,1024,934,777,736,635,535,568,390,369,306,,A,,Louisiana
ME,2013,TR,354,304,238,220,196,194,208,201,215,164,140,88,,A,,Maine
MD,2013,TR,3079,3037,2792,2902,2897,2706,2478,2393,2356,2170,1944,1759,,A,,Maryland
MA,2013,TR,2680,2453,2363,2409,2181,1973,2047,1768,1790,1603,1520,1291,,A,,Massachusetts
MI,2013,TR,4085,4071,3562,3514,3203,3144,3088,2941,3118,2803,2376,2119,,A,,Michigan
MN,2013,TR,3386,3164,2992,2589,1951,1576,1646,1431,1519,1344,1236,1260,,A,,Minnesota
MS,2013,TR,813,665,616,564,417,287,288,248,218,208,133,114,,A,,Mississippi
MO,2013,TR,2705,2248,1974,1597,1508,1453,1386,1270,1321,1204,1073,898,,A,,Missouri
MT,2013,TR,412,382,331,269,265,270,263,216,240,199,186,159,,A,,Montana
NE,2013,TR,862,812,836,779,759,740,666,662,665,601,651,687,,A,,Nebraska
NV,2013,TR,2396,2223,2065,1930,1949,1829,1775,1697,1744,1748,1701,1609,,A,,Nevada
NH,2013,TR,428,428,415,355,330,348,299,260,287,249,207,212,,A,,New Hampshire
NJ,2013,TR,1821,1672,1355,1303,1098,959,835,825,873,835,708,554,,A,,New Jersey
NM,2013,TR,500,438,415,364,378,341,320,321,392,331,266,232,,A,,New Mexico
NY,2013,TR,5267,4625,3621,2889,2549,2311,2048,1911,3071,2424,1379,1204,,A,,New York
NC,2013,TR,4917,4651,4379,4556,4827,4483,4381,4197,4604,4240,3655,3411,,A,,North Carolina
ND,2013,TR,219,191,135,119,99,87,67,62,68,58,70,56,,A,,North Dakota
OH,2013,TR,6830,6311,6188,6480,6151,5957,5967,5583,5957,5084,4290,3867,,A,,Ohio
OK,2013,TR,4898,4029,3529,3469,3316,3300,3154,3062,3075,2787,2444,2074,,A,,Oklahoma
OR,2013,TR,2467,2463,2345,2369,2309,2156,2254,2267,2234,2154,1956,2190,,A,,Oregon
PA,2013,TR,6128,5383,4642,4127,3461,2844,2549,2538,2547,2305,1839,1720,,A,,Pennsylvania
RI,2013,TR,487,431,419,367,336,317,328,288,295,271,272,183,,A,,Rhode Island
SC,2013,TR,2249,2160,1958,1952,1745,1756,1643,1646,1477,1204,1026,890,,A,,South Carolina
SD,2013,TR,438,411,321,272,219,199,188,174,190,150,115,109,,A,,South Dakota
TN,2013,TR,2090,1818,1516,1186,1177,1025,1006,972,873,769,627,570,,A,,Tennessee
TX,2013,TR,8689,8183,7711,7669,7249,6815,6781,6598,6959,6198,5646,5357,,A,,Texas
UT,2013,TR,1084,1134,1097,1015,905,874,937,912,929,849,758,722,,A,,Utah
VT,2013,TR,186,211,191,203,194,172,184,149,145,131,128,121,,A,,Vermont
VA,2013,TR,5431,5095,4869,4846,4611,4510,4287,4198,4385,3901,3548,3429,,A,,Virginia
WA,2013,TR,6792,6249,5697,5435,5197,5075,5059,5146,5161,4756,4523,4525,,A,,Washington
WV,2013,TR,716,623,541,475,405,322,289,247,227,185,150,112,,A,,West Virginia
WI,2013,TR,2092,1902,1671,1542,1373,1373,1312,1294,1277,1264,1168,1016,,A,,Wisconsin
WY,2013,TR,189,137,141,141,138,133,131,135,116,103,112,87,,A,,Wyoming
_M,2008,HP,,,,,,,,,,,,,,,,Midwest
_M,2008,TR,,,,,,,,,,,,,,,,Midwest
_M,2009,HP,95,88,88,93,95,86,77,75,98,80,80,85,72,A,A,Midwest
_M,2009,TR,2382,2538,2341,2239,2207,2196,2091,2044,2089,1891,1679,1451,1296,A,A,Midwest
_M,2010,HP,699,633,620,590,631,588,627,617,642,691,630,738,568,A,A,Midwest
_M,2010,TR,27663,24926,23985,23368,22408,21414,20386,19272,20727,18556,15835,14414,13065,A,A,Midwest
_M,2011,HP,816,707,682,644,635,668,614,679,718,659,611,610,556,A,A,Midwest
_M,2011,TR,28451,27641,25151,24311,23747,22725,21896,20683,21421,19119,17188,15128,14606,A,A,Midwest
_M,2012,HP,885,786,731,717,681,661,725,696,772,709,690,614,533,A,A,Midwest
_M,2012,TR,30729,28746,28063,25549,24668,24263,23323,22187,22892,20555,18093,16995,16616,A,A,Midwest
_M,2013,HP,920,874,799,731,740,685,675,757,771,788,688,661,,A,,Midwest
_M,2013,TR,33180,30994,29350,28397,26090,25315,24910,23580,24393,22015,19677,17987,,A,,Midwest
_N,2008,HP,331,339,287,259,256,216,317,303,244,321,329,305,336,A,A,Northeast
_N,2008,TR,2420,2402,2160,1866,1832,1677,1558,1522,1668,1402,1213,1063,1210,A,A,Northeast
_N,2009,HP,303,317,304,292,256,279,266,280,295,246,262,255,429,A,A,Northeast
_N,2009,TR,3254,2695,2692,2392,2167,2087,1950,1771,1975,1639,1479,1252,1751,A,A,Northeast
_N,2010,HP,470,465,448,473,447,415,382,383,477,502,419,423,549,A,A,Northeast
_N,2010,TR,11261,9648,8053,7442,7024,6467,6130,5508,5864,4842,4056,3523,3286,A,A,Northeast
_N,2011,HP,1001,906,903,795,775,820,727,751,873,774,722,604,552,A,A,Northeast
_N,2011,TR,13099,11321,9880,8522,7966,7476,6947,6666,6804,5843,4929,4312,4126,A,A,Northeast
_N,2012,HP,1171,982,905,907,819,840,868,782,891,879,712,731,702,A,A,Northeast
_N,2012,TR,16409,13949,12289,10742,9470,8902,8380,7751,9234,7002,6065,5130,4973,A,A,Northeast
_N,2013,HP,535,476,483,502,474,466,477,475,498,472,425,440,,A,,Northeast
_N,2013,TR,18670,16704,14245,12829,11334,9991,9360,8781,10150,8768,6847,5969,,A,,Northeast
_S,2008,HP,3,2,1,2,1,2,2,,3,1,2,1,2,A,A,South
_S,2008,TR,,,,,,,,,,,,,,,,South
