STABR,SURVYEAR,TYPE,BIRTHS,BIRTHYR,FLAG_P
_M,2020,WH,"572,029",2014,A
_N,2000,AM,"1,800",1994,A
_N,2000,AS,"27,884",1994,A
_N,2000,BL,"113,695",1994,A
_N,2000,G,"732,796",1994,A
_N,2000,HI,"98,067",1994,A
_N,2000,NP,"732,796",1994,A
_N,2000,WH,"491,351",1994,A
_N,2001,AM,"1,636",1995,A
_N,2001,AS,"29,700",1995,A
_N,2001,BL,"106,181",1995,A
_N,2001,G,"712,149",1995,A
_N,2001,HI,"95,121",1995,A
_N,2001,NP,"712,149",1995,A
_N,2001,WH,"479,511",1995,A
_N,2002,AM,"1,467",1996,A
_N,2002,AS,"31,973",1996,A
_N,2002,BL,"101,934",1996,A
_N,2002,G,"699,065",1996,A
_N,2002,HI,"94,307",1996,A
_N,2002,NP,"699,065",1996,A
_N,2002,WH,"469,384",1996,A
_N,2003,AM,"1,506",1997,A
_N,2003,AS,"33,644",1997,A
_N,2003,BL,"100,561",1997,A
_N,2003,G,"685,258",1997,A
_N,2003,HI,"93,073",1997,A
_N,2003,NP,"685,258",1997,A
_N,2003,WH,"456,474",1997,A
_N,2004,AM,"1,637",1998,A
_N,2004,AS,"34,021",1998,A
_N,2004,BL,"101,894",1998,A
_N,2004,G,"691,230",1998,A
_N,2004,HI,"96,846",1998,A
_N,2004,NP,"691,230",1998,A
_N,2004,WH,"456,832",1998,A
_N,2005,AM,"1,614",1999,A
_N,2005,AS,"36,133",1999,A
_N,2005,BL,"100,250",1999,A
_N,2005,G,"685,903",1999,A
_N,2005,HI,"99,023",1999,A
_N,2005,NP,"685,903",1999,A
_N,2005,WH,"448,883",1999,A
_N,2006,AM,"1,708",2000,A
_N,2006,AS,"40,383",2000,A
_N,2006,BL,"100,651",2000,A
_N,2006,G,"692,507",2000,A
_N,2006,HI,"102,254",2000,A
_N,2006,NP,"692,507",2000,A
_N,2006,WH,"447,511",2000,A
_N,2007,AM,"1,672",2001,A
_N,2007,AS,"40,485",2001,A
_N,2007,BL,"98,634",2001,A
_N,2007,G,"684,535",2001,A
_N,2007,HI,"105,503",2001,A
_N,2007,NP,"684,535",2001,A
_N,2007,WH,"438,241",2001,A
_N,2008,AM,"1,795",2002,A
_N,2008,AS,"42,935",2002,A
_N,2008,BL,"96,443",2002,A
